project_id,year_month,planned_labor_cost,planned_outsource_cost,planned_expense,planned_revenue
P001,2026-04,830000,250000,170000,1500000
P001,2026-05,830000,250000,170000,1500000
P001,2026-06,830000,250000,170000,1500000
P001,2026-07,830000,250000,170000,1500000
P001,2026-08,830000,250000,170000,1500000
P002,2026-08,1000000,375000,125000,1800000
P001,2026-09,830000,250000,170000,1500000
P002,2026-09,1000000,375000,125000,1800000
P001,2026-10,830000,250000,170000,1500000
P002,2026-10,1000000,375000,125000,1800000
P003,2026-10,830000,420000,170000,1600000
P001,2026-11,830000,250000,170000,1500000
P002,2026-11,1000000,375000,125000,1800000
P003,2026-11,830000,420000,170000,1600000
P001,2026-12,830000,250000,170000,1500000
P002,2026-12,1000000,375000,125000,1800000
P003,2026-12,830000,420000,170000,1600000
P001,2027-01,830000,250000,170000,1500000
P002,2027-01,1000000,375000,125000,1800000
P003,2027-01,830000,420000,170000,1600000
P001,2027-02,830000,250000,170000,1500000
P002,2027-02,1000000,375000,125000,1800000
P003,2027-02,830000,420000,170000,1600000
P001,2027-03,830000,250000,170000,1500000
P002,2027-03,1000000,375000,125000,1800000
P003,2027-03,830000,420000,170000,1600000
